id,ga_name,ga_code,sort_num,indent_num,fs_type,ga_type,is_credit,parent_ga_id
sales,売上高,sales,1,0,PL,aggregate,,gross_profit
cogs,売上原価,cost_of_goods_sold,2,0,PL,aggregate,,gross_profit
gross_profit,売上総利益,gross_profit,3,0,PL,super_calc,,
sga,販売費及び一般管理費,sga,4,0,PL,aggregate,,operating_income
depreciation,減価償却費,depreciation,5,0,PL,aggregate,,operating_income
operating_income,営業利益,operating_income,6,0,PL,super_calc,,
non_op_income,営業外収益,non_operating_income,7,0,PL,aggregate,,ordinary_income
non_op_expenses,営業外費用,non_operating_expenses,8,0,PL,aggregate,,ordinary_income
ordinary_income,経常利益,ordinary_income,9,0,PL,super_calc,,
extra_income,特別利益,extraordinary_income,10,0,PL,aggregate,,pre_tax_income
extra_loss,特別損失,extraordinary_loss,11,0,PL,aggregate,,pre_tax_income
pre_tax_income,税引前当期純利益,pre_tax_income,13,0,PL,super_calc,,
income_taxes,法人税、住民税及び事業税,income_taxes,14,0,PL,aggregate,,net_income
income_tax_adj,法人税等調整額,income_tax_adjustment,15,0,PL,aggregate,,net_income
net_income,当期純利益,net_income,16,0,PL,super_calc,,
cash,現金及び預金,cash,1,2,BS,aggregate,FALSE,current_assets
trade_receivables,受取手形及び売掛金,trade_receivables,2,2,BS,aggregate,FALSE,current_assets
inventories,棚卸資産,inventories,3,2,BS,aggregate,FALSE,current_assets
current_assets,流動資産,current_assets,4,1,BS,super_calc,FALSE,
buildings,建物,buildings,5,2,BS,aggregate,FALSE,tangible_fixed_assets
ppe,土地,ppe,6,2,BS,aggregate,FALSE,tangible_fixed_assets
tangible_fixed_assets,有形固定資産,tangible_fixed_assets,7,1,BS,super_calc,FALSE,
ip_rights,知的財産権,intellectual_propertyrights,8,2,BS,aggregate,FALSE,intangible_fixed_assets
software,ソフトウェア,software,9,2,BS,aggregate,FALSE,intangible_fixed_assets
goodwills,のれん,goodwills,10,2,BS,aggregate,FALSE,intangible_fixed_assets
intangible_fixed_assets,無形固定資産,intangible_fixed_assets,11,1,BS,super_calc,FALSE,
investments,投資その他の資産,investments,12,1,BS,super_calc,FALSE,
non_current_assets,固定資産,non_current_assets,13,1,BS,super_calc,FALSE,
assets,資産,assets,14,0,BS,super_calc,FALSE,
trade_payables,支払手形及び買掛金,trade_payables,15,2,BS,aggregate,TRUE,current_liabilities
short_term_debt,短期借入金,short_term_debt,16,2,BS,aggregate,TRUE,current_liabilities
current_liabilities,流動負債,current_liabilities,17,1,BS,super_calc,TRUE,
long_term_debt,長期借入金,long_term_debt,18,2,BS,aggregate,TRUE,non_current_liabilities
bonds,社債,bonds,19,2,BS,aggregate,TRUE,non_current_liabilities
non_current_liabilities,固定負債,non_current_liabilities,20,1,BS,super_calc,TRUE,
liabilities,負債,liabilities,21,0,BS,super_calc,TRUE,
capital_stock,資本金,capital_stock,22,2,BS,aggregate,TRUE,shareholders_equity
retained_earnings,利益剰余金,retained_earnings,23,2,BS,aggregate,TRUE,shareholders_equity
shareholders_equity,株主資本,shareholders_equity,24,1,BS,super_calc,TRUE,
equity,純資産,equity,25,0,BS,super_calc,TRUE,
change_in_inventories,棚卸資産の増減額,change_in_inventories,5,0,CF,aggregate,,cfo
purchase_of_ppe,有形固定資産の取得による支出,purchase_of_property_plant_and_equipment,9,0,CF,aggregate,,cfi
sale_of_ppe,有形固定資産の売却による収入,proceeds_from_sale_of_property_plant_and_equipment,10,0,CF,aggregate,,cfi
purchase_of_securities,投資有価証券の取得による支出,purchase_of_investment_securities,11,0,CF,aggregate,,cfi
sale_of_securities,投資有価証券の売却による収入,proceeds_from_sale_of_investment_securities,12,0,CF,aggregate,,cfi
cfi,投資活動によるキャッシュ・フロー,cash_flow_from_investing_activities,13,0,CF,super_calc,,
increase_in_short_term_debt,短期借入金の純増減額,net_increase_in_short_term_borrowings,14,0,CF,aggregate,,cff
proceeds_from_long_term_debt,長期借入れによる収入,proceeds_from_long_term_debt,15,0,CF,aggregate,,cff
repayment_of_long_term_debt,長期借入金の返済による支出,repayment_of_long_term_debt,16,0,CF,aggregate,,cff
issuance_of_shares,株式の発行による収入,proceeds_from_issuance_of_common_stock,17,0,CF,aggregate,,cff
dividends_paid,配当金の支払額,dividends_paid,18,0,CF,aggregate,,cff
cff,財務活動によるキャッシュ・フロー,cash_flow_from_financing_activities,19,0,CF,super_calc,,
cash_and_equivalents_beginning,現金及び現金同等物の期首残高,cash_and_cash_equivalents_beginning_of_period,20,0,CF,super_calc,,
cash_and_equivalents_end,現金及び現金同等物の期末残高,cash_and_cash_equivalents_end_of_period,21,0,CF,super_calc,,
net_income_for_cf,税金等調整前当期純利益,net_income_before_taxes_for_cf,1,0,CF,aggregate,,cfo
cfo,営業活動によるキャッシュ・フロー,cash_flow_from_operating_activities,8,0,CF,super_calc,,
depreciation,減価償却費,depreciation,2,0,CF,aggregate,,cfo
amortization_goodwill,のれん償却額,amortization_of_goodwill,3,0,CF,aggregate,,cfo
change_in_trade_receivables,売上債権の増減額,change_in_trade_receivables,4,0,CF,aggregate,,cfo
change_in_trade_payables,仕入債務の増減額,change_in_trade_payables,6,0,CF,aggregate,,cfo
income_taxes_paid,法人税等の支払額,income_taxes_paid,7,0,CF,aggregate,,cfo